L1_WSS,L2_WSS,L3_WSS,MEM_WSS,GFLOPS,PROXY_ACCESS_TIME,GFLOPS_RANKING,PROXY_ACCESS_RANKING
29316.0, 0.0, 794624.0, 67633152.0, 7.9467550000000005, 5728979472.0, 119.0, 201.0, 
17412.0, 32768.0, 794624.0, 67633152.0, 1.7414060000000002, 5729390608.0, 310.0, 202.0, 
1028.0, 90880.0, 794624.0, 67633152.0, 1.1441, 5730138640.0, 448.0, 203.0, 
13108.0, 0.0, 1187840.0, 67371008.0, 17.236387, 5730487504.0, 15.0, 204.0, 
17508.0, 0.0, 1187840.0, 67371008.0, 6.022106, 5730505104.0, 216.0, 205.0, 
26308.0, 0.0, 1187840.0, 67371008.0, 12.124319, 5730540304.0, 78.0, 206.0, 
16388.0, 139328.0, 790528.0, 67633152.0, 1.048171, 5730632592.0, 562.0, 207.0, 
8196.0, 135296.0, 794624.0, 67633152.0, 1.141933, 5730789136.0, 460.0, 208.0, 
17284.0, 26624.0, 1187840.0, 67371008.0, 7.556225, 5730876944.0, 151.0, 209.0, 
2052.0, 173312.0, 794624.0, 67633152.0, 0.902885, 5731296784.0, 744.0, 210.0, 
516.0, 78592.0, 1187840.0, 67371008.0, 1.6995040000000001, 5731537424.0, 347.0, 211.0, 
1028.0, 148480.0, 1187840.0, 67371008.0, 1.130369, 5732517904.0, 493.0, 212.0, 
8196.0, 0.0, 1257728.0, 67371008.0, 1.1366180000000001, 5734661136.0, 479.0, 213.0, 
4100.0, 0.0, 1620480.0, 67174400.0, 0.877617, 5739894800.0, 921.0, 214.0, 
2052.0, 132608.0, 1343488.0, 67371008.0, 0.9006219999999999, 5741638672.0, 785.0, 215.0, 
16388.0, 0.0, 1648896.0, 67174400.0, 0.7524890000000001, 5741648912.0, 985.0, 216.0, 
4100.0, 133376.0, 999424.0, 67633152.0, 0.8968299999999999, 5743033872.0, 827.0, 217.0, 
4100.0, 0.0, 1665536.0, 67239936.0, 0.88702, 5748103184.0, 871.0, 218.0, 
